Model,No_Of_VMs,Prompt,Token_Length,Response_Time_ms,Throughput_tok_s,VM1_metrics
bigscience/bloomz-560m,1,What is the capital of Bahrain?,7,1560.26,7.05,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":96.194,""count"":49,""max"":100.0,""min"":93.4},""flow_recv_mb"":{""avg"":0.002,""count"":49,""max"":0.031281471252441406,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":49,""max"":0.03372669219970703,""min"":0.0},""flow_throughput_mbps"":{""avg"":0.768,""count"":49,""max"":14.808658908497621,""min"":0.0},""memory_percent"":{""avg"":52.3,""count"":49,""max"":52.3,""min"":52.3},""memory_used_mb"":{""avg"":4125.0,""count"":49,""max"":4125,""min"":4125},""petals_cpu_percent"":{""avg"":65.186,""count"":49,""max"":407.8,""min"":0.0},""petals_mem_mb"":{""avg"":10519.0,""count"":49,""max"":10519,""min"":10519},""petals_proc_count"":{""avg"":10.0,""count"":49,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":49,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Bangladesh?,7,1378.86,7.252,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":93.305,""count"":43,""max"":98.9,""min"":0.0},""flow_recv_mb"":{""avg"":0.002,""count"":43,""max"":0.03250885009765625,""min"":0.0},""flow_sent_mb"":{""avg"":0.003,""count"":43,""max"":0.05393409729003906,""min"":0.0},""flow_throughput_mbps"":{""avg"":1.138,""count"":43,""max"":19.170904727840785,""min"":0.0},""memory_percent"":{""avg"":52.3,""count"":43,""max"":52.3,""min"":52.3},""memory_used_mb"":{""avg"":4125.116,""count"":43,""max"":4126,""min"":4125},""petals_cpu_percent"":{""avg"":61.351,""count"":43,""max"":462.5,""min"":0.0},""petals_mem_mb"":{""avg"":10519.0,""count"":43,""max"":10519,""min"":10519},""petals_proc_count"":{""avg"":10.0,""count"":43,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":43,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Barbados?,7,1316.77,7.594,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":93.759,""count"":29,""max"":99.4,""min"":0.0},""flow_recv_mb"":{""avg"":0.002,""count"":29,""max"":0.028421401977539062,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":29,""max"":0.029569625854492188,""min"":0.0},""flow_throughput_mbps"":{""avg"":1.974,""count"":29,""max"":46.507519626549964,""min"":0.0},""memory_percent"":{""avg"":52.3,""count"":29,""max"":52.3,""min"":52.3},""memory_used_mb"":{""avg"":4125.69,""count"":29,""max"":4126,""min"":4125},""petals_cpu_percent"":{""avg"":62.576,""count"":29,""max"":145.3,""min"":0.0},""petals_mem_mb"":{""avg"":10519.172,""count"":29,""max"":10524,""min"":10519},""petals_proc_count"":{""avg"":10.0,""count"":29,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":29,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Belarus?,7,1148.01,7.84,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":94.118,""count"":28,""max"":100.0,""min"":91.8},""flow_recv_mb"":{""avg"":0.002,""count"":28,""max"":0.028766632080078125,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":28,""max"":0.030498504638671875,""min"":0.0},""flow_throughput_mbps"":{""avg"":1.006,""count"":28,""max"":13.868140313136898,""min"":0.0},""memory_percent"":{""avg"":52.3,""count"":28,""max"":52.3,""min"":52.3},""memory_used_mb"":{""avg"":4126.0,""count"":28,""max"":4126,""min"":4126},""petals_cpu_percent"":{""avg"":43.932,""count"":28,""max"":127.4,""min"":0.0},""petals_mem_mb"":{""avg"":10524.0,""count"":28,""max"":10524,""min"":10524},""petals_proc_count"":{""avg"":10.0,""count"":28,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":28,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Belgium?,7,996.94,9.028,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":97.73,""count"":37,""max"":100.0,""min"":95.9},""flow_recv_mb"":{""avg"":0.003,""count"":37,""max"":0.03930473327636719,""min"":0.0},""flow_sent_mb"":{""avg"":0.108,""count"":37,""max"":3.905221939086914,""min"":0.0},""flow_throughput_mbps"":{""avg"":21.372,""count"":37,""max"":742.383865687161,""min"":0.0},""memory_percent"":{""avg"":52.122,""count"":37,""max"":52.3,""min"":52.1},""memory_used_mb"":{""avg"":4117.081,""count"":37,""max"":4126,""min"":4116},""petals_cpu_percent"":{""avg"":71.822,""count"":37,""max"":237.4,""min"":0.0},""petals_mem_mb"":{""avg"":10524.0,""count"":37,""max"":10524,""min"":10524},""petals_proc_count"":{""avg"":10.0,""count"":37,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":37,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Belize?,7,1391.41,7.187,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":93.586,""count"":36,""max"":99.6,""min"":0.0},""flow_recv_mb"":{""avg"":0.002,""count"":36,""max"":0.029146194458007812,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":36,""max"":0.030202865600585938,""min"":0.0},""flow_throughput_mbps"":{""avg"":0.726,""count"":36,""max"":11.457727681490708,""min"":0.0},""memory_percent"":{""avg"":52.1,""count"":36,""max"":52.1,""min"":52.1},""memory_used_mb"":{""avg"":4116.0,""count"":36,""max"":4116,""min"":4116},""petals_cpu_percent"":{""avg"":72.689,""count"":36,""max"":207.0,""min"":0.0},""petals_mem_mb"":{""avg"":10524.0,""count"":36,""max"":10524,""min"":10524},""petals_proc_count"":{""avg"":10.0,""count"":36,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":36,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Benin?,7,1294.86,7.723,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":97.487,""count"":48,""max"":99.7,""min"":0.0},""flow_recv_mb"":{""avg"":0.002,""count"":48,""max"":0.029033660888671875,""min"":0.0},""flow_sent_mb"":{""avg"":0.003,""count"":48,""max"":0.05328369140625,""min"":0.0},""flow_throughput_mbps"":{""avg"":2.441,""count"":48,""max"":38.18285921897165,""min"":0.0},""memory_percent"":{""avg"":52.16,""count"":48,""max"":52.2,""min"":52.1},""memory_used_mb"":{""avg"":4118.417,""count"":48,""max"":4120,""min"":4116},""petals_cpu_percent"":{""avg"":61.535,""count"":48,""max"":241.4,""min"":0.0},""petals_mem_mb"":{""avg"":10524.0,""count"":48,""max"":10524,""min"":10524},""petals_proc_count"":{""avg"":10.0,""count"":48,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":48,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Bhutan?,7,1470.01,6.803,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":96.138,""count"":29,""max"":99.7,""min"":0.0},""flow_recv_mb"":{""avg"":0.001,""count"":29,""max"":0.029582977294921875,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":29,""max"":0.0336151123046875,""min"":0.0},""flow_throughput_mbps"":{""avg"":1.197,""count"":29,""max"":25.593456564450225,""min"":0.0},""memory_percent"":{""avg"":52.2,""count"":29,""max"":52.2,""min"":52.2},""memory_used_mb"":{""avg"":4120.0,""count"":29,""max"":4120,""min"":4120},""petals_cpu_percent"":{""avg"":62.866,""count"":29,""max"":157.4,""min"":0.0},""petals_mem_mb"":{""avg"":10524.0,""count"":29,""max"":10524,""min"":10524},""petals_proc_count"":{""avg"":10.0,""count"":29,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":29,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Bolivia?,7,1304.85,7.664,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":97.609,""count"":55,""max"":99.6,""min"":0.0},""flow_recv_mb"":{""avg"":0.002,""count"":55,""max"":0.029132843017578125,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":55,""max"":0.030612945556640625,""min"":0.0},""flow_throughput_mbps"":{""avg"":1.591,""count"":55,""max"":38.095940593878915,""min"":0.0},""memory_percent"":{""avg"":52.2,""count"":55,""max"":52.2,""min"":52.2},""memory_used_mb"":{""avg"":4120.0,""count"":55,""max"":4120,""min"":4120},""petals_cpu_percent"":{""avg"":72.593,""count"":55,""max"":477.5,""min"":0.0},""petals_mem_mb"":{""avg"":10524.0,""count"":55,""max"":10524,""min"":10524},""petals_proc_count"":{""avg"":10.0,""count"":55,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":55,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Bosnia and Herzegovina?,9,1144.94,9.607,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":99.527,""count"":26,""max"":100.0,""min"":99.2},""flow_recv_mb"":{""avg"":0.002,""count"":26,""max"":0.037052154541015625,""min"":0.0},""flow_sent_mb"":{""avg"":0.003,""count"":26,""max"":0.037052154541015625,""min"":0.0},""flow_throughput_mbps"":{""avg"":5.917,""count"":26,""max"":143.9868336717473,""min"":0.0},""memory_percent"":{""avg"":52.2,""count"":26,""max"":52.2,""min"":52.2},""memory_used_mb"":{""avg"":4120.0,""count"":26,""max"":4120,""min"":4120},""petals_cpu_percent"":{""avg"":68.823,""count"":26,""max"":257.2,""min"":0.0},""petals_mem_mb"":{""avg"":10524.0,""count"":26,""max"":10524,""min"":10524},""petals_proc_count"":{""avg"":10.0,""count"":26,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":26,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Botswana?,7,1145.95,7.854,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":99.486,""count"":22,""max"":99.7,""min"":99.1},""flow_recv_mb"":{""avg"":0.0,""count"":22,""max"":0.0021104812622070312,""min"":0.0},""flow_sent_mb"":{""avg"":0.0,""count"":22,""max"":0.0021104812622070312,""min"":0.0},""flow_throughput_mbps"":{""avg"":0.016,""count"":22,""max"":0.35412001924732284,""min"":0.0},""memory_percent"":{""avg"":52.2,""count"":22,""max"":52.2,""min"":52.2},""memory_used_mb"":{""avg"":4120.0,""count"":22,""max"":4120,""min"":4120},""petals_cpu_percent"":{""avg"":60.809,""count"":22,""max"":154.7,""min"":0.0},""petals_mem_mb"":{""avg"":10524.0,""count"":22,""max"":10524,""min"":10524},""petals_proc_count"":{""avg"":10.0,""count"":22,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":22,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Brazil?,7,1037.49,8.675,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":99.0,""count"":49,""max"":100.0,""min"":98.1},""flow_recv_mb"":{""avg"":0.002,""count"":49,""max"":0.03255748748779297,""min"":0.0},""flow_sent_mb"":{""avg"":0.004,""count"":49,""max"":0.06723499298095703,""min"":0.0},""flow_throughput_mbps"":{""avg"":1.097,""count"":49,""max"":23.20180814803735,""min"":0.0},""memory_percent"":{""avg"":52.2,""count"":49,""max"":52.2,""min"":52.2},""memory_used_mb"":{""avg"":4120.0,""count"":49,""max"":4120,""min"":4120},""petals_cpu_percent"":{""avg"":51.324,""count"":49,""max"":224.7,""min"":0.0},""petals_mem_mb"":{""avg"":10524.0,""count"":49,""max"":10524,""min"":10524},""petals_proc_count"":{""avg"":10.0,""count"":49,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":49,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Brunei?,7,1084.73,8.297,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":93.926,""count"":23,""max"":98.3,""min"":0.0},""flow_recv_mb"":{""avg"":0.001,""count"":23,""max"":0.02935791015625,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":23,""max"":0.031002044677734375,""min"":0.0},""flow_throughput_mbps"":{""avg"":1.0,""count"":23,""max"":16.848959579070968,""min"":0.0},""memory_percent"":{""avg"":52.2,""count"":23,""max"":52.2,""min"":52.2},""memory_used_mb"":{""avg"":4120.0,""count"":23,""max"":4120,""min"":4120},""petals_cpu_percent"":{""avg"":70.77,""count"":23,""max"":193.0,""min"":0.0},""petals_mem_mb"":{""avg"":10524.0,""count"":23,""max"":10524,""min"":10524},""petals_proc_count"":{""avg"":10.0,""count"":23,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":23,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Bulgaria?,7,1220.52,7.374,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":98.216,""count"":25,""max"":99.1,""min"":96.7},""flow_recv_mb"":{""avg"":0.001,""count"":25,""max"":0.013779640197753906,""min"":0.0},""flow_sent_mb"":{""avg"":0.001,""count"":25,""max"":0.013779640197753906,""min"":0.0},""flow_throughput_mbps"":{""avg"":0.262,""count"":25,""max"":5.39021177115158,""min"":0.0},""memory_percent"":{""avg"":52.2,""count"":25,""max"":52.2,""min"":52.2},""memory_used_mb"":{""avg"":4120.0,""count"":25,""max"":4120,""min"":4120},""petals_cpu_percent"":{""avg"":37.54,""count"":25,""max"":108.5,""min"":0.0},""petals_mem_mb"":{""avg"":10524.0,""count"":25,""max"":10524,""min"":10524},""petals_proc_count"":{""avg"":10.0,""count"":25,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":25,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Burkina Faso?,8,1649.24,7.276,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":99.135,""count"":62,""max"":99.5,""min"":98.4},""flow_recv_mb"":{""avg"":0.002,""count"":62,""max"":0.03379249572753906,""min"":0.0},""flow_sent_mb"":{""avg"":0.002,""count"":62,""max"":0.03459739685058594,""min"":0.0},""flow_throughput_mbps"":{""avg"":0.642,""count"":62,""max"":9.702744257358972,""min"":0.0},""memory_percent"":{""avg"":52.2,""count"":62,""max"":52.2,""min"":52.2},""memory_used_mb"":{""avg"":4120.0,""count"":62,""max"":4120,""min"":4120},""petals_cpu_percent"":{""avg"":69.724,""count"":62,""max"":664.5,""min"":0.0},""petals_mem_mb"":{""avg"":10524.694,""count"":62,""max"":10525,""min"":10524},""petals_proc_count"":{""avg"":10.0,""count"":62,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":62,""max"":179,""min"":179}}}"
bigscience/bloomz-560m,1,What is the capital of Burundi?,7,1473.15,6.788,"{""hostname"":""S2-VM1"",""metrics"":{""cpu_percent"":{""avg"":99.381,""count"":37,""max"":99.6,""min"":99.2},""flow_recv_mb"":{""avg"":0.002,""count"":37,""max"":0.030208587646484375,""min"":0.0},""flow_sent_mb"":{""avg"":0.003,""count"":37,""max"":0.05008697509765625,""min"":0.0},""flow_throughput_mbps"":{""avg"":0.853,""count"":37,""max"":9.483188028713936,""min"":0.0},""memory_percent"":{""avg"":52.2,""count"":37,""max"":52.2,""min"":52.2},""memory_used_mb"":{""avg"":4120.0,""count"":37,""max"":4120,""min"":4120},""petals_cpu_percent"":{""avg"":67.143,""count"":37,""max"":220.2,""min"":0.0},""petals_mem_mb"":{""avg"":10525.0,""count"":37,""max"":10525,""min"":10525},""petals_proc_count"":{""avg"":10.0,""count"":37,""max"":10,""min"":10},""petals_threads"":{""avg"":179.0,""count"":37,""max"":179,""min"":179}}}"
