country,prompt,word_count,token_count,Responce Time,No of VMs
Mongolia,What is the year of independence of Mongolia?,8,9,935.1377487182617,5
Montenegro,What is the year of independence of Montenegro?,8,9,923.271656036377,5
Morocco,What is the year of independence of Morocco?,8,9,930.612325668335,5
Mozambique,What is the year of independence of Mozambique?,8,9,933.5188865661621,5
Myanmar,What is the year of independence of Myanmar?,8,9,932.4283599853516,5
Namibia,What is the year of independence of Namibia?,8,9,927.5212287902832,5
Nauru,What is the year of independence of Nauru?,8,9,928.8771152496338,5
Nepal,What is the year of independence of Nepal?,8,9,925.3051280975342,5
Netherlands,What is the year of independence of Netherlands?,8,9,1157.8164100646973,5
Nicaragua,What is the year of independence of Nicaragua?,8,9,925.570011138916,5
Niger,What is the year of independence of Niger?,8,9,922.924280166626,5
Nigeria,What is the year of independence of Nigeria?,8,9,927.1547794342041,5
Norway,What is the year of independence of Norway?,8,9,925.4956245422363,5
Oman,What is the year of independence of Oman?,8,9,924.4706630706787,5
Pakistan,What is the year of independence of Pakistan?,8,9,921.4446544647217,5
Palau,What is the year of independence of Palau?,8,9,930.1352500915527,5
Panama,What is the year of independence of Panama?,8,9,940.7272338867188,5
Paraguay,What is the year of independence of Paraguay?,8,9,945.1682567596436,5
Peru,What is the year of independence of Peru?,8,9,931.6930770874023,5
Philippines,What is the year of independence of Philippines?,8,9,931.326150894165,5
Poland,What is the year of independence of Poland?,8,9,933.4185123443604,5
Portugal,What is the year of independence of Portugal?,8,9,929.7726154327393,5
Qatar,What is the year of independence of Qatar?,8,9,925.2264499664307,5
Romania,What is the year of independence of Romania?,8,9,924.4296550750732,5
Russia,What is the year of independence of Russia?,8,9,946.4828968048096,5
Rwanda,What is the year of independence of Rwanda?,8,9,934.2548847198486,5
Samoa,What is the year of independence of Samoa?,8,9,928.945779800415,5
Senegal,What is the year of independence of Senegal?,8,9,936.5570545196533,5
Serbia,What is the year of independence of Serbia?,8,9,932.295560836792,5
Seychelles,What is the year of independence of Seychelles?,8,9,926.6760349273682,5
Singapore,What is the year of independence of Singapore?,8,9,920.34912109375,5
Slovakia,What is the year of independence of Slovakia?,8,9,934.2412948608398,5
Slovenia,What is the year of independence of Slovenia?,8,9,921.1361408233643,5
Somalia,What is the year of independence of Somalia?,8,9,923.5489368438721,5
Spain,What is the year of independence of Spain?,8,9,924.9165058135986,5
Sudan,What is the year of independence of Sudan?,8,9,921.7689037322998,5
Suriname,What is the year of independence of Suriname?,8,9,931.4303398132324,5
Sweden,What is the year of independence of Sweden?,8,9,921.424150466919,5
Switzerland,What is the year of independence of Switzerland?,8,9,925.4856109619141,5
Syria,What is the year of independence of Syria?,8,9,926.4204502105713,5
Tajikistan,What is the year of independence of Tajikistan?,8,9,925.2474308013916,5
Tanzania,What is the year of independence of Tanzania?,8,9,929.7194480895996,5
Thailand,What is the year of independence of Thailand?,8,9,932.830810546875,5
Timor-Leste,What is the year of independence of Timor-Leste?,9,9,927.9665946960449,5
Togo,What is the year of independence of Togo?,8,9,927.6151657104492,5
Tonga,What is the year of independence of Tonga?,8,9,924.473762512207,5
Tunisia,What is the year of independence of Tunisia?,8,9,946.5153217315674,5
Turkmenistan,What is the year of independence of Turkmenistan?,8,9,936.2161159515381,5
Tuvalu,What is the year of independence of Tuvalu?,8,9,928.7638664245605,5
Uganda,What is the year of independence of Uganda?,8,9,942.0466423034668,5
Ukraine,What is the year of independence of Ukraine?,8,9,934.0476989746094,5
Uruguay,What is the year of independence of Uruguay?,8,9,931.7398071289062,5
Uzbekistan,What is the year of independence of Uzbekistan?,8,9,945.4505443572998,5
Vanuatu,What is the year of independence of Vanuatu?,8,9,925.2440929412842,5
Venezuela,What is the year of independence of Venezuela?,8,9,927.1581172943115,5
Vietnam,What is the year of independence of Vietnam?,8,9,928.4257888793945,5
Yemen,What is the year of independence of Yemen?,8,9,928.870439529419,5
Zambia,What is the year of independence of Zambia?,8,9,944.1940784454346,5
Zimbabwe,What is the year of independence of Zimbabwe?,8,9,945.7714557647705,5
,Summarize examples marketing weather science metrics?,6,9,1401.1385440826416,5
,Show guidelines qualitative without solutions global weather briefly?,8,9,698.3880996704102,5
,Outline typical anthropology security common ideas?,6,9,938.7164115905762,5
,Define with practical art major economics music weather?,8,9,942.2650337219238,5
,List art law geometry during advanced ethical agriculture?,8,9,1399.4214534759521,5
,Compare essential features patterns architecture patterns without rural?,8,9,923.504114151001,5
,Name renewable typical sports global analysis within economics?,8,9,2345.2205657958984,5
,List core trends beginner urban urban definition analysis?,8,9,1162.846326828003,5
,Name ideas during with calculus processes approaches best?,8,9,1166.1996841430664,5
,Show business literature within impacts law with simply?,8,9,922.6713180541992,5
,Compare analysis overview ethics energy the internet quantitative?,8,9,929.5432567596436,5
,Give ethics computing education within summary principles sustainable?,8,9,923.5982894897461,5
,List features marketing about definition essential geometry local?,8,9,921.2286472320557,5
,List geometry biology concepts ethics environment management calculus?,8,9,923.1882095336914,5
,Name internet practical security beyond psychology statistics environment?,8,9,925.1291751861572,5
,Compare overview factors contemporary now professional ai algebra?,8,9,929.0826320648193,5
,Explain medicine challenges without philosophy calculus now?,7,9,943.0053234100342,5
,Describe practical today data engineering management on?,7,9,929.5470714569092,5
,Give practice contemporary digital with strategies qualitative techniques?,8,9,692.4893856048584,5
,Contrast during economics tools sociology sports?,6,9,944.4005489349365,5
,Give statistics everyday ai data effects security literature?,8,9,705.2466869354248,5
,Outline briefly outcomes solutions medicine statistics causes?,7,9,693.835973739624,5
,Name software sustainable to origin hardware practical transport?,8,9,928.6091327667236,5
,Show best features everyday guidelines practice definition through?,8,9,931.4491748809814,5
,Contrast patterns global essential anthropology about?,6,9,1400.4607200622559,5
,Show analysis for ethics major solutions patterns energy?,8,9,930.6387901306152,5
,Identify briefly digital advanced geography algebra?,6,9,1637.7274990081787,5
,Contrast geology education explanation beginner processes?,6,9,925.5709648132324,5
,Describe analogue practical psychology during linguistics?,6,9,1397.4885940551758,5
,Name networks examples practice patterns data effects clearly?,8,9,925.3354072570801,5
,Name strategies health environment through global industrial security?,8,9,689.9619102478027,5
,Show qualitative history education education advanced effects methods?,8,9,924.9076843261719,5
,Define examples guidelines literature qualitative networks health networks?,8,9,1168.9262390136719,5
,List during solutions statistics ai medicine engineering software?,8,9,936.7778301239014,5
,Show philosophy across essential ecology philosophy causes?,7,9,927.4632930755615,5
,Outline practice law beyond economics within history?,7,9,689.5737648010254,5
,Provide analysis simply best chemistry anthropology?,6,9,934.8912239074707,5
,Outline from theoretical internet patterns energy rural?,7,9,695.1053142547607,5
,Summarize basic marketing psychology design risks?,6,9,1395.9264755249023,5
,Show the weather robotics management features practical?,7,9,929.1613101959229,5
,Summarize strategies metrics intermediate weather definition?,6,9,930.9368133544922,5
,Explain for ethics intermediate practical during health?,7,9,930.3772449493408,5
,Provide features techniques physics music quantitative uses?,7,9,929.9929141998291,5
,Outline networks main sports impacts quantitative the?,7,9,927.1652698516846,5
,Summarize sports by global typical psychology?,6,9,925.7099628448486,5
,Name steps advanced across literature technology software processes?,8,9,687.971830368042,5
,List finance common beyond steps uses uses typical?,8,9,924.938440322876,5
,Identify now law risks sports guidelines risks?,7,9,925.299882888794,5
,Explain across networks astronomy business geology?,6,9,936.1305236816406,5
,Give transport security features methods intermediate management with?,8,9,949.7702121734619,5
,Show by ancient ai art methods literature modern?,8,9,927.0660877227783,5
,Summarize concepts clearly weather patterns by?,6,9,927.6096820831299,5
,Outline common core practical renewable geography?,6,9,697.9684829711914,5
,Describe renewable finance rural uses professional guidelines?,7,9,928.8086891174316,5
,Show technology features mathematics classical practical mathematics finance?,8,9,932.2531223297119,5
,Name rural core geometry common strategies music features?,8,9,926.7725944519043,5
,List impacts summary through rural beginner networks practice?,8,9,708.6470127105713,5
,Name quantitative ethical classical ethics physics briefly through?,8,9,923.753023147583,5
,Summarize impacts with analysis ideas in?,6,9,925.1742362976074,5
,Name common overview internet major features comparison concepts?,8,9,696.815013885498,5
,Name design simply approaches essential art metrics transport?,8,9,713.0515575408936,5
,Explain beyond linguistics overview today internet?,6,9,700.3514766693115,5
,Define major steps rural to origin methods strategies?,8,9,928.0571937561035,5
,Give statistics overview best major across risks on?,8,9,1173.4604835510254,5
,Compare law modern summary design analogue urban intermediate?,8,9,937.305212020874,5
,Explain business analogue without law drawbacks?,6,9,917.839527130127,5
,Summarize practical everyday essential technology security?,6,9,924.7345924377441,5
,List sustainable science examples linguistics architecture practice?,7,9,929.7389984130859,5
,List tools climate beginner software data internet features?,8,9,691.5700435638428,5
,Give with definition beyond calculus geometry major health?,8,9,687.4375343322754,5
,Define features ethics astronomy sustainable to engineering calculus?,8,9,923.0606555938721,5
,Provide ecology computing practical architecture education?,6,9,934.1967105865479,5
,Give features practical education overview to rural uses?,8,9,688.7221336364746,5
,Outline networks engineering outcomes now processes factors?,7,9,685.3716373443604,5
,Give factors definition energy without marketing briefly engineering?,8,9,702.1410465240479,5
,Name concepts professional briefly techniques local software solutions?,8,9,1163.170576095581,5
,Summarize in summary industrial mathematics design?,6,9,1400.3105163574219,5
,Give in advanced health steps science metrics theoretical?,8,9,929.1188716888428,5
,List to practical statistics the ideas algebra transport?,8,9,1159.4700813293457,5
,Name climate linguistics geography summary causes?,6,9,1167.2234535217285,5
,Provide biology robotics applications local analysis?,6,9,939.6073818206787,5
,Define practice practice music local features biology within?,8,9,1163.4125709533691,5
,Give industrial techniques applications finance impacts overview technology?,8,9,707.453727722168,5
,Contrast on best geography engineering strategies?,6,9,918.55788230896,5
,List practical trends outcomes climate technology design contemporary?,8,9,943.5310363769531,5
,Give renewable weather on chemistry music computing internet?,8,9,691.8528079986572,5
,List mathematics analogue to anthropology common across?,7,9,936.1929893493652,5
,Show the psychology hardware calculus applied art law?,8,9,932.3787689208984,5
,Explain impacts modern linguistics everyday psychology?,6,9,2820.820093154907,5
,Show simply local major transport features ethical education?,8,9,955.3744792938232,5
,Compare history advanced briefly education biology explanation by?,8,9,1415.9538745880127,5
,Name analogue economics briefly summary biology global advanced?,8,9,689.7847652435303,5
,Explain essential management simply clearly modern geometry?,7,9,698.1818675994873,5
,Describe uses biology beginner agriculture geology?,6,9,921.3955402374268,5
,Define simply essential risks to in ethical internet?,8,9,2576.8651962280273,5
,Give applications processes during solutions challenges beyond modern?,8,9,922.4867820739746,5
,Name today to simply ethical key methods environment?,8,9,1403.4922122955322,5
,Provide briefly processes concepts practical outcomes definition?,7,9,690.338134765625,5
,List agriculture finance ancient advanced music theoretical history?,8,9,929.842472076416,5
,Identify uses effects agriculture statistics sociology?,6,9,925.0783920288086,5
,Identify metrics guidelines uses guidelines mathematics methods?,7,9,931.4501285552979,5
,Name tools security renewable briefly on beginner in?,8,9,928.5914897918701,5
,Show to approaches essential linguistics professional law?,7,9,701.1277675628662,5
,Describe main chemistry advanced intermediate environment major?,7,9,920.9640026092529,5
,Summarize by through about management marketing?,6,9,923.1250286102295,5
,List digital methods with for sports weather methods?,8,9,927.703857421875,5
,Describe anthropology algebra art networks art?,6,9,927.7281761169434,5
,Explain on concepts benefits during features briefly?,7,9,2811.2049102783203,5
,Outline contemporary effects design geology in?,6,9,1173.4051704406738,5
,Outline processes strategies art tools ethical psychology?,7,9,681.5764904022217,5
,Give impacts rural medicine industrial calculus across processes?,8,9,923.4299659729004,5
,Define beginner management impacts environment agriculture strategies now?,8,9,941.8737888336182,5
,Outline factors theoretical astronomy trends finance summary?,7,9,687.9241466522217,5
,Name main typical algebra medicine definition art practical?,8,9,1153.4473896026611,5
,Summarize urban trends to technology in?,6,9,1383.2957744598389,5
,Summarize architecture challenges business minor basic?,6,9,1618.532419204712,5
,Compare principles sports ai metrics environment philosophy advanced?,8,9,935.272216796875,5
,Show best algebra health design agriculture design applications?,8,9,940.1752948760986,5
,Name analogue in benefits common for music practical?,8,9,1197.3979473114014,5
,Name now processes sports literature essential typical physics?,8,9,923.2995510101318,5
,Name practical industrial effects from sustainable ethical engineering?,8,9,1162.8649234771729,5
,Give ancient calculus about best economics steps definition?,8,9,1417.2961711883545,5
,Compare principles typical intermediate with renewable advanced core?,8,9,941.7941570281982,5
,List summary quantitative history overview sustainable origin ancient?,8,9,695.5995559692383,5
,List definition solutions basic best local best industrial?,8,9,940.9382343292236,5
,Define internet hardware ancient during basic security transport?,8,9,967.1504497528076,5
,List quantitative typical philosophy to essential benefits health?,8,9,1672.6276874542236,5
,Define principles during chemistry architecture tools ancient education?,8,9,945.9898471832275,5
,Show data analogue history professional quantitative algebra practical?,8,9,932.5342178344727,5
,Show sports comparison basic tools now science rural?,8,9,935.2598190307617,5
,Show statistics analogue everyday the tools drawbacks?,7,9,934.3249797821045,5
,Identify literature solutions history modern robotics?,6,9,930.9415817260742,5
,Summarize comparison steps major modern intermediate?,6,9,935.1599216461182,5
,List chemistry intermediate weather practice tools marketing transport?,8,9,699.608564376831,5
,List anthropology steps today internet challenges finance?,7,9,699.5432376861572,5
,Explain core software through methods sociology?,6,9,929.5368194580078,5
,Name urban principles security now digital philosophy ai?,8,9,1166.8028831481934,5
,Show design marketing industrial law key advanced rural?,8,9,937.0992183685303,5
,Summarize design to computing key without?,6,9,923.7060546875,5
,Outline causes history concepts anthropology networks?,6,9,942.5933361053467,5
,Name environment challenges practice solutions management medicine psychology?,8,9,938.4925365447998,5
,Name beginner networks advanced hardware professional weather health?,8,9,685.6193542480469,5
,Explain applications methods sustainable theoretical robotics?,6,9,696.810245513916,5
,Name music environment climate on modern geometry agriculture?,8,9,928.5557270050049,5
,Compare geology drawbacks examples ethical factors?,6,9,919.844388961792,5
,Compare sustainable patterns law definition data simply engineering?,8,9,926.9187450408936,5
